ASX Code,Closing Price,Last Trade
360,2.04,20200630
14D   ,0.091,20200630
1AD   ,0.085,20200630
1AG   ,0.039,20200630
1AL   ,0.85,20200130
1ST   ,0.031,20200630
2BE   ,0.08,20200630
3DA   ,0.14,20200630
3DP   ,0.042,20200630
3PL   ,0.86,20200630
4CE   ,0.012,20200109
4DS   ,0.046,20200630
5GN   ,1.18,20200630
88E   ,0.005,20200630
8CO   ,0.063,20200630
8EC   ,0.078,20200312
8IH   ,0.1,20200630
8VI   ,0.4,20200629
9SP   ,0.029,20200629
A1G   ,0.125,20200630
A1M   ,0.305,20200630
A200  ,99.3,20200630
A2B   ,0.81,20200630
A2M   ,18.66,20200630
A3D   ,0.059,20200630
A40   ,0.082,20190809
A4N   ,0.175,20200630
AAA   ,50.1,20200630
AAC   ,1.03,20200630
AAJ   ,0.005,20200630
AAP   ,0.01,20200625
AAR   ,0.14,20200630
AASF  ,2.67,20200630
ABA   ,4.84,20200630
ABC   ,3.18,20200630
ABL   ,0.001,20200330
ABP   ,2.68,20200630
ABR   ,0.5,20200630
ABV   ,0.024,20200630
ABW   ,0.19,20190117
ABX   ,0.12,20200630
AC8   ,0.135,20200630
ACB   ,0.007,20200630
ACDC  ,53,20200630
ACF   ,0.315,20200630
ACP   ,0.01,20200616
ACQ   ,0.9,20200630
ACR   ,0.145,20200630
ACS   ,0.005,20200630
ACU   ,0.08,20200630
ACW   ,0.022,20200630
AD1   ,0.01,20200630
AD8   ,5.4,20200630
ADA   ,0.41,20200630
ADD   ,0.012,20200630
ADH   ,2.3,20200630
ADI   ,2.36,20200630
ADN   ,0.051,20200630
ADO   ,0.02,20200630
ADR   ,0.024,20200630
ADS   ,0.018,20200630
ADT   ,1.315,20200630
ADV   ,0.007,20200630
ADX   ,0.008,20200630
ADY   ,0.006,20200630
AEB   ,0.009,20190131
AEE   ,0.004,20200518
AEF   ,6.66,20200630
AEG   ,1.12,20200630
AEI   ,0.525,20200630
AER   ,0.092,20200629
AEV   ,0.01,20200630
AFA   ,0.09,20200610
AFG   ,1.71,20200630
AFI   ,6.09,20200630
AFL   ,0.2,20200630
AFP   ,3.6,20200630
AFR   ,0.014,20200630
AFT   ,0.001,20180907
AGD   ,0.155,20200630
AGE   ,0.004,20200630
AGG   ,8.61,20200630
AGH   ,0.32,20200630
AGI   ,0.41,20200630
AGJ   ,0.03,20200629
AGL   ,17.05,20200630
AGM   ,1.61,20200630
AGR   ,0.042,20200630
AGRNA ,-,-
AGS   ,0.175,20200630
AGVT  ,52.26,20200629
AGX1  ,5.13,20200626
AGY   ,0.051,20200630
AHF   ,0.068,20200630
AHK   ,0.034,20190919
AHL   ,0.007,20200630
AHN   ,0.02,20190712
AHQ   ,0.069,20200630
AHX   ,0.46,20200630
AHY   ,1.015,20200630
AIA   ,6.16,20200630
AIB   ,0.052,20200629
AIQ   ,0.11,20200622
AIR   ,0.7,20200619
AIS   ,0.033,20200630
AIV   ,0.13,20200609
AIY   ,0.03,20191122
AIZ   ,1.235,20200630
AJC   ,0.001,20200629
AJJ   ,0.024,20200630
AJL   ,0.035,20200630
AJM   ,0.061,20200630
AJQ   ,0.02,20200630
AJX   ,0.06,20200630
AJY   ,0.12,20181112
AKG   ,0.235,20200630
AKM   ,0.085,20200630
AKN   ,0.002,20190927
AKP   ,18.24,20200630
AL3   ,0.155,20200630
AL8   ,0.145,20200630
ALC   ,0.145,20200630
ALD   ,29.32,20200630
ALF   ,0.87,20200630
ALG   ,0.39,20200630
ALI   ,2.07,20200630
ALK   ,1.205,20200630
ALL   ,25.5,20200630
ALQ   ,6.56,20200630
ALT   ,0.002,20200630
ALU   ,32.48,20200630
ALX   ,6.62,20200630
ALY   ,0.02,20200630
AMA   ,0.595,20200630
AMB   ,0.021,20200630
AMC   ,14.48,20200630
AMD   ,0.007,20200630
AME   ,0.068,20200630
AMG   ,0.027,20200630
AMH   ,0.935,20200630
AMI   ,0.5,20200630
AML   ,0.085,20200630
AMN   ,0.435,20200630
AMO   ,0.055,20200626
AMP   ,1.855,20200630
AMPPA ,100.212,20200630
AMPPB ,97.6,20200630
AMS   ,0.425,20200630
AMT   ,0.089,20200630
AMX   ,1.5,20200630
ANA   ,0.015,20200630
ANG   ,0.13,20200630
ANL   ,0.001,20200630
ANN   ,36.7,20200630
ANO   ,4.25,20200630
ANP   ,0.074,20200630
ANR   ,0.13,20200630
ANS   ,0.017,20180903
ANW   ,0.001,20200630
ANZ   ,18.64,20200630
ANZPD ,101.74,20200630
ANZPE ,100.99,20200630
ANZPF ,101.3,20200630
ANZPG ,103.75,20200630
ANZPH ,101.561,20200630
AO1   ,0.007,20200630
AOA   ,0.003,20200630
AOF   ,2.09,20200630
AON   ,0.028,20200630
AOP   ,0.355,20200630
AOU   ,0.049,20200630
APA   ,11.13,20200630
APC   ,0.055,20200630
APD   ,0.54,20200630
APE   ,6.75,20200630
APG   ,0.001,20200629
APH   ,0.11,20200630
API   ,1.145,20200630
APL   ,0.92,20200630
APT   ,60.99,20200630
APV   ,0.135,20200630
APW   ,1.25,20200630
APX   ,33.92,20200630
APZ   ,0.995,20200630
AQC   ,0.1,20200630
AQD   ,0.015,20200630
AQG   ,9.59,20200630
AQI   ,0.06,20200630
AQR   ,3.4,20200630
AQS   ,0.014,20200625
AQX   ,0.034,20200630
AQZ   ,3.03,20200630
AR9   ,0.115,20200630
ARA   ,0.39,20200625
ARB   ,17.95,20200630
ARC   ,0.29,20200630
ARD   ,0.026,20200630
ARE   ,0.008,20200630
ARF   ,2.19,20200630
ARG   ,7.19,20200630
ARL   ,0.26,20200630
ARM   ,0.02,20200630
ARN   ,0.077,20200630
ARO   ,0.002,20200630
ARS   ,0.046,20200630
ARU   ,0.057,20200630
ARV   ,0.058,20200630
AS1   ,0.14,20200630
ASB   ,3.23,20200630
ASG   ,1.17,20200630
ASH   ,0.26,20200630
ASIA  ,8.73,20200630
ASN   ,0.025,20200630
ASP   ,0.009,20200611
ASQ   ,0.04,20200629
AST   ,1.67,20200630
ASW   ,0.65,20200603
ASX   ,85.38,20200630
AT1   ,0.34,20200630
ATC   ,0.04,20200630
ATEC  ,17.5,20200630
ATH   ,0.017,20200630
ATL   ,0.3,20200630
ATM   ,1,20200624
ATP   ,0.005,20200630
ATR   ,0.165,20200625
ATS   ,0.026,20200630
ATU   ,0.225,20200630
ATX   ,0.125,20200630
AU1   ,0.043,20200629
AU8   ,0.05,20200630
AUB   ,14.7,20200630
AUC   ,0.042,20200630
AUDS  ,10.08,20200630
AUH   ,0.003,20200629
AUI   ,8.05,20200630
AUL   ,0.205,20200630
AUMF  ,26.87,20200630
AUP   ,2.99,20200320
AUQ   ,0.013,20200629
AUR   ,0.048,20200630
AUST  ,15.52,20200630
AUT   ,0.16,20200630
AUZ   ,0.008,20200630
AV1   ,0.079,20200630
AVA   ,0.155,20200630
AVC   ,0.205,20200630
AVE   ,0.007,20200630
AVG   ,0.41,20200630
AVH   ,9,20200630
AVJ   ,0.465,20200630
AVL   ,0.009,20200630
AVN   ,2.09,20200630
AVQ   ,0.025,20190524
AVR   ,4.9,20200630
AVW   ,0.003,20200630
AVZ   ,0.052,20200630
AWC   ,1.625,20200630
AWN   ,0.28,20200630
AWV   ,0.024,20200630
AX1   ,1.4,20200630
AX8   ,0.023,20200630
AXE   ,0.6,20200630
AXI   ,0.039,20200611
AXT   ,0.014,20191220
AYF   ,5.4,20200626
AYI   ,0.001,20200626
AYM   ,0.001,20200630
AYR   ,0.025,20200630
AYS   ,0.59,20200630
AZI   ,0.004,20200630
AZJ   ,4.92,20200630
AZS   ,0.088,20200630
AZV   ,0.075,20200630
AZY   ,0.025,20200630
B2Y   ,0.029,20191216
BAF   ,0.72,20200630
BAP   ,5.9,20200630
BAR   ,0.016,20200630
BAS   ,0.001,20200630
BAT   ,0.007,20200630
BBC   ,0.43,20200630
BBL   ,0.39,20200630
BBN   ,3.22,20200630
BBOZ  ,8.8,20200630
BBUS  ,2.76,20200630
BBX   ,0.155,20200630
BC8   ,0.81,20200630
BCB   ,0.055,20200630
BCC   ,0.17,20200629
BCI   ,0.17,20200630
BCK   ,0.021,20200630
BCN   ,0.04,20200630
BCT   ,0.049,20200630
BD1   ,0.027,20200630
BDA   ,0.27,20200630
BDC   ,0.083,20200630
BDG   ,0.061,20200630
BDI   ,0.001,20200309
BEAR  ,12.14,20200630
BEE   ,0.018,20200630
BEL   ,0.044,20200630
BEM   ,0.034,20200630
BEN   ,7.01,20200630
BENPE ,99.4,20200630
BENPF ,100.24,20200630
BENPG ,98.74,20200630
BET   ,0.425,20200630
BFC   ,0.085,20200630
BFG   ,1.17,20200630
BGA   ,4.45,20200630
BGL   ,1.06,20200630
BGP   ,2.99,20200619
BGT   ,0.13,20200630
BHD   ,0.21,20200630
BHL   ,0.08,20200622
BHP   ,35.82,20200630
BID   ,0.615,20200630
BILL  ,100.3,20200630
BIN   ,2.15,20200630
BIQ   ,0.005,20200630
BIR   ,0.016,20200630
BIS   ,0.93,20200630
BIT   ,0.074,20200630
BKI   ,1.385,20200630
BKL   ,77.95,20200630
BKT   ,0.049,20200630
BKW   ,15.83,20200630
BKY   ,0.45,20200630
BLA   ,0.185,20190517
BLD   ,3.79,20200630
BLG   ,0.029,20200630
BLU   ,0.038,20200630
BLV   ,0.041,20200630
BLX   ,1.055,20200630
BLY   ,0.37,20200630
BLZ   ,0.019,20200630
BMG   ,0.005,20200630
BMH   ,0.2,20200416
BMN   ,0.037,20200630
BNDS  ,27.12,20200630
BNKS  ,4.68,20200630
BNL   ,0.013,20200630
BNO   ,0.058,20200630
BNR   ,0.077,20200630
BOA   ,0.175,20200630
BOC   ,0.235,20200629
BOE   ,0.053,20200630
BOL   ,0.105,20200630
BOND  ,28.33,20200630
BOQ   ,6.17,20200630
BOQPE ,99.84,20200630
BOT   ,0.039,20200630
BPH   ,0.023,20200630
BPL   ,0.017,20200630
BPP   ,0.018,20200629
