ASX Code,Company Name,Sub-Industry
1AD,Adalta Limited Ordinary,Biotechnology & Medical Research
1AE,Aurora Energy Metals Limited Ordinary,Uranium
1ADOA,Adalta Limited $0.03 Option Expiring 29-May-2024,Biotechnology & Medical Research
14D,1414 Degrees Limited Ordinary,Electrical Components & Equipment
1AG,Alterra Limited Ordinary,Environmental Services & Equipment
1AI,Algorae Pharmaceuticals Limited Ordinary,Biotechnology & Medical Research
1AIO,Algorae Pharmaceuticals Limited $0.01 Option Expiring 31-Mar-2026,Biotechnology & Medical Research
1CG,One Click Group Limited Ordinary,Financial Technology (Fintech)
1CGO,One Click Group Limited $0.03 Option Expiring 17-Nov-2026,Financial Technology (Fintech)
1GOV,Vaneck 1-5 Year Australian Government Bond ETF,N/A
1TT,Thrive Tribe Technologies Limited Ordinary,Software
1MC,Morella Corporation Limited Ordinary,Specialty Mining & Metals
360,Life360 Inc. CDI 3:1 US Person Prohibited Excluding QIB,Software
29M,29METALS Limited Ordinary,Integrated  Mining
3DA,Amaero International Ltd Ordinary,Industrial Machinery & Equipment
3DAO,Amaero International Ltd $0.18 Option Expiring 02-Dec-2025,Industrial Machinery & Equipment
3DP,Pointerra Limited Ordinary,Software
3PL,3P Learning Limited. Ordinary,Software
4DS,4DS Memory Limited Ordinary,Computer Hardware
4DX,4DMEDICAL Limited Ordinary,Advanced Medical Equipment & Technology
4DXO,4DMEDICAL Limited $1.36 Option Expiring 31-Dec-2025,Advanced Medical Equipment & Technology
5EA,5E Advanced Materials Inc. CDI 10:1,Specialty Mining & Metals
5GG,Pentanet Limited Ordinary,Wireless Telecommunications Services
5GOV,Vaneck 5-10 Year Australian Government Bond ETF,N/A
5GN,5G Networks Limited Ordinary,Online Services
88E,88 Energy Limited Ordinary,Oil & Gas Exploration and Production
88EOA,88 Energy Limited $0.01 Option Expiring 15-Dec-2026,Oil & Gas Exploration and Production
8CO,8COMMON Limited Ordinary,Software
8IH,8I Holdings Ltd CDI 1:1,Holding Companies
A11,Atlantic Lithium Limited Ordinary,Specialty Mining & Metals
8VI,8VI Holdings Limited CDI 1:1,Professional & Business Education
A1G,African Gold Ltd. Ordinary,Gold
A200,BetaShares Australia 200 ETF,N/A
