ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year
1AD,EQY,ADALTA LIMITED                                              ,ORDINARY            ,0.28,20170630,2017
1AG,EQY,ALTERRA LIMITED                                             ,ORDINARY            ,0.024,20170630,2017
1ST,EQY,1ST GROUP LIMITED                                           ,ORDINARY            ,0.026,20170628,2017
3DP,EQY,POINTERRA LIMITED                                           ,ORDINARY            ,0.025,20170629,2017
3PL,EQY,3P LEARNING LIMITED..                                       ,ORDINARY            ,1.045,20170630,2017
4DS,EQY,4DS MEMORY LIMITED                                          ,ORDINARY            ,0.037,20170630,2017
88E,EQY,88 ENERGY LIMITED                                           ,ORDINARY            ,0.057,20170630,2017
8CO,EQY,8COMMON LIMITED                                             ,ORDINARY            ,0.033,20170622,2017
8IH,EQY,8I HOLDINGS LTD                                             ,CDI 1:1             ,0.45,20170629,2017
A2M,EQY,THE A2 MILK COMPANY LIMITED                                 ,ORDINARY            ,3.76,20170630,2017
A3D,EQY,AURORA LABS LIMITED                                         ,ORDINARY            ,1.07,20170630,2017
AAA,EQY,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF                ,ETF UNITS           ,50.17,20170630,2017
AAC,EQY,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.                    ,ORDINARY            ,1.855,20170630,2017
AAJ,EQY,ARUMA RESOURCES LIMITED                                     ,ORDINARY            ,0.008,20170630,2017
AAP,EQY,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED                    ,ORDINARY            ,0.034,20170630,2017
AAR,EQY,ANGLO AUSTRALIAN RESOURCES NL                               ,ORDINARY            ,0.044,20170630,2017
AAU,EQY,ADCORP AUSTRALIA LIMITED                                    ,ORDINARY            ,0.009,20170629,2017
ABA,EQY,AUSWIDE BANK LTD                                            ,ORDINARY            ,5.14,20170630,2017
ABC,EQY,ADELAIDE BRIGHTON LIMITED                                   ,ORDINARY            ,5.63,20170630,2017
ABP,EQY,ABACUS PROPERTY GROUP                                       ,UNITS/ORD STAPLED   ,3.24,20170630,2017
ABV,EQY,ADVANCED BRAKING TECHNOLOGY LTD                             ,ORDINARY            ,0.006,20170630,2017
ABX,EQY,AUSTRALIAN BAUXITE LIMITED.                                 ,ORDINARY            ,0.165,20170630,2017
AC8,EQY,AUSCANN GROUP HOLDINGS LTD                                  ,ORDINARY            ,0.425,20170630,2017
ACB,EQY,A-CAP RESOURCES LIMITED                                     ,ORDINARY            ,0.051,20170630,2017
ACL,EQY,ALCHEMIA LIMITED                                            ,ORDINARY            ,0.008,20170630,2017
ACP,EQY,AUDALIA RESOURCES LIMITED                                   ,ORDINARY            ,0.02,20170517,2017
ACQ,EQY,ACORN CAPITAL INVESTMENT FUND LIMITED                       ,ORDINARY            ,0.92,20170630,2017
ACR,EQY,ACRUX LIMITED                                               ,ORDINARY            ,0.215,20170630,2017
ACS,EQY,ACCENT RESOURCES NL                                         ,ORDINARY            ,0.025,20170627,2017
ACU,EQY,ACTIVISTIC LIMITED                                          ,ORDINARY            ,0.015,20170421,2017
