ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year,Company Name,Sub-Industry,Splits,Dividends
1AD,EQY,ADALTA LIMITED                                              ,ORDINARY            ,0.28,20170630,2017,Adalta Limited Ordinary,Biotechnology & Medical Research,1,0
1AG,EQY,ALTERRA LIMITED                                             ,ORDINARY            ,0.024,20170630,2017,Alterra Limited Ordinary,Environmental Services & Equipment,1,0
3DP,EQY,POINTERRA LIMITED                                           ,ORDINARY            ,0.025,20170629,2017,Pointerra Limited Ordinary,Software,1,0
3PL,EQY,3P LEARNING LIMITED..                                       ,ORDINARY            ,1.045,20170630,2017,3P Learning Limited. Ordinary,Software,1,0
4DS,EQY,4DS MEMORY LIMITED                                          ,ORDINARY            ,0.037,20170630,2017,4DS Memory Limited Ordinary,Computer Hardware,1,0
88E,EQY,88 ENERGY LIMITED                                           ,ORDINARY            ,0.057,20170630,2017,88 Energy Limited Ordinary,Oil & Gas Exploration and Production,1,0
8CO,EQY,8COMMON LIMITED                                             ,ORDINARY            ,0.033,20170622,2017,8COMMON Limited Ordinary,Software,1,0
8IH,EQY,8I HOLDINGS LTD                                             ,CDI 1:1             ,0.45,20170629,2017,8I Holdings Ltd CDI 1:1,Holding Companies,1,0
A2M,EQY,THE A2 MILK COMPANY LIMITED                                 ,ORDINARY            ,3.76,20170630,2017,The A2 Milk Company Limited Ordinary,Food Processing,1,0
A3D,EQY,AURORA LABS LIMITED                                         ,ORDINARY            ,1.07,20170630,2017,Aurora Labs Limited Ordinary,Electronic Equipment & Parts,1,0
AAC,EQY,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.                    ,ORDINARY            ,1.855,20170630,2017,Australian Agricultural Company Limited Ordinary,Food Processing,1,0
AAJ,EQY,ARUMA RESOURCES LIMITED                                     ,ORDINARY            ,0.008,20170630,2017,Aruma Resources Limited Ordinary,Gold,1,0
AAP,EQY,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED                    ,ORDINARY            ,0.034,20170630,2017,Australian Agricultural Projects Limited Ordinary,Fishing & Farming,1,0.24
AAR,EQY,ANGLO AUSTRALIAN RESOURCES NL                               ,ORDINARY            ,0.044,20170630,2017,Astral Resources NL Ordinary,Gold,1,0
AAU,EQY,ADCORP AUSTRALIA LIMITED                                    ,ORDINARY            ,0.009,20170629,2017,Antilles Gold Limited Ordinary,Gold,1,0
ABA,EQY,AUSWIDE BANK LTD                                            ,ORDINARY            ,5.14,20170630,2017,Auswide Bank Ltd Ordinary,Banks,1,0
ABC,EQY,ADELAIDE BRIGHTON LIMITED                                   ,ORDINARY            ,5.63,20170630,2017,Adbri Limited Ordinary,Construction Materials,1,1.51
ABV,EQY,ADVANCED BRAKING TECHNOLOGY LTD                             ,ORDINARY            ,0.006,20170630,2017,Advanced Braking Technology Ltd Ordinary,"Auto, Truck & Motorcycle Parts",1,0
ABX,EQY,AUSTRALIAN BAUXITE LIMITED.                                 ,ORDINARY            ,0.165,20170630,2017,ABX Group Limited Ordinary,Aluminum,1,0
AC8,EQY,AUSCANN GROUP HOLDINGS LTD                                  ,ORDINARY            ,0.425,20170630,2017,Auscann Group Holdings Ltd Ordinary,Pharmaceuticals,1,0
ACL,EQY,ALCHEMIA LIMITED                                            ,ORDINARY            ,0.008,20170630,2017,Australian Clinical Labs Limited Ordinary,Healthcare Facilities & Services,1,0
ACP,EQY,AUDALIA RESOURCES LIMITED                                   ,ORDINARY            ,0.02,20170517,2017,Audalia Resources Limited Ordinary,Specialty Mining & Metals,1,0
ACQ,EQY,ACORN CAPITAL INVESTMENT FUND LIMITED                       ,ORDINARY            ,0.92,20170630,2017,Acorn Capital Investment Fund Limited Ordinary,Investment Management & Fund Operators,1,0
ACR,EQY,ACRUX LIMITED                                               ,ORDINARY            ,0.215,20170630,2017,Acrux Limited Ordinary,Pharmaceuticals,1,0.2
ACS,EQY,ACCENT RESOURCES NL                                         ,ORDINARY            ,0.025,20170627,2017,Accent Resources NL Ordinary,Integrated  Mining,1,0
ACU,EQY,ACTIVISTIC LIMITED                                          ,ORDINARY            ,0.015,20170421,2017,Acumentis Group Limited Ordinary,Real Estate Services,1,0.44
ACW,EQY,ACTINOGEN MEDICAL LIMITED                                   ,ORDINARY            ,0.061,20170630,2017,Actinogen Medical Limited Ordinary,Biotechnology & Medical Research,1,0
AD1,EQY,APPLYDIRECT LIMITED                                         ,ORDINARY            ,0.14,20170630,2017,AD1 Holdings Limited Ordinary,IT Services & Consulting,1,0
AD8,EQY,AUDINATE GROUP LIMITED                                      ,DEFERRED SETTLEMENT ,1.53,20170630,2017,Audinate Group Limited Ordinary,Electronic Equipment & Parts,1,0
ADA,EQY,ADACEL TECHNOLOGIES LIMITED                                 ,ORDINARY            ,2.35,20170630,2017,Adacel Technologies Limited Ordinary,Software,1,0
ADD,EQY,ADAVALE RESOURCES LIMITED                                   ,ORDINARY            ,0.011,20170627,2017,Adavale Resources Limited Ordinary,Integrated  Mining,1,0
ADH,EQY,ADAIRS LIMITED                                              ,ORDINARY            ,0.86,20170630,2017,Adairs Limited Ordinary,Home Furnishings Retailers,1,0
ADN,EQY,ANDROMEDA METALS LIMITED                                    ,ORDINARY            ,0.006,20170630,2017,Andromeda Metals Limited Ordinary,Integrated  Mining,1,0
ADO,EQY,ANTEO DIAGNOSTICS LIMITED                                   ,ORDINARY            ,0.016,20170630,2017,Anteotech Ltd Ordinary,Biotechnology & Medical Research,1,0
ADR,EQY,ADHERIUM LIMITED                                            ,ORDINARY            ,0.135,20170630,2017,Adherium Limited Ordinary,Advanced Medical Equipment & Technology,1,0
ADV,EQY,ARDIDEN LTD                                                 ,ORDINARY            ,0.014,20170630,2017,Ardiden Ltd Ordinary,Integrated  Mining,1,0
ADX,EQY,ADX ENERGY LTD                                              ,ORDINARY            ,0.013,20170629,2017,ADX Energy Ltd Ordinary,Oil & Gas Exploration and Production,1,0
ADY,EQY,ADMIRALTY RESOURCES NL.                                     ,ORDINARY            ,0.004,20170630,2017,Admiralty Resources NL Ordinary,Steel,1,0
AEE,EQY,AURA ENERGY LIMITED                                         ,ORDINARY            ,0.023,20170630,2017,Aura Energy Limited Ordinary,Uranium,1,1.8
AEF,EQY,AUSTRALIAN ETHICAL INVESTMENT LIMITED                       ,ORDINARY            ,94.6,20170630,2017,Australian Ethical Investment Limited Ordinary,Investment Management & Fund Operators,1,0.71
AEI,EQY,AERIS ENVIRONMENTAL LTD                                     ,ORDINARY            ,0.275,20170630,2017,Aeris Environmental Ltd Ordinary,Environmental Services & Equipment,1,0
AER,EQY,AEERIS LTD                                                  ,ORDINARY            ,0.033,20170628,2017,Aeeris Ltd Ordinary,IT Services & Consulting,1,0
AEV,EQY,AVENIRA LIMITED                                             ,ORDINARY            ,0.07,20170630,2017,Avenira Limited Ordinary,Construction Materials,1,0
AFA,EQY,ASF GROUP LIMITED                                           ,ORDINARY            ,0.18,20170630,2017,ASF Group Limited Ordinary,Real Estate Services,1,0
AFG,EQY,AUSTRALIAN FINANCE GROUP LTD                                ,ORDINARY            ,1.285,20170630,2017,Australian Finance Group Ltd Ordinary,Consumer Lending,1,4.86
AFI,EQY,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED            ,ORDINARY            ,5.81,20170630,2017,Australian Foundation Investment Company Limited Ordinary,Investment Management & Fund Operators,1,0
AFP,EQY,AFT PHARMACEUTICALS LIMITED                                 ,ORD FOR. EXEMPT NZX ,2.18,20170630,2017,AFT Pharmaceuticals Limited Ordinary Foreign Exempt NZX,Pharmaceuticals,1,0
AGD,EQY,AUSTRAL GOLD LIMITED                                        ,ORDINARY            ,0.15,20170630,2017,Austral Gold Limited Ordinary,Integrated  Mining,1,0
