ASX Code,Dividends,Date
AAA,0.12,30/04/2024
AAA,0.14,27/03/2024
AAA,0.13,28/02/2024
AAA,0.12,30/01/2024
AAA,0.13,28/12/2023
AAA,0.13,1/12/2023
AAA,0.14,1/11/2023
AAA,0.14,31/08/2023
AAA,0.14,1/08/2023
AAA,0.12,3/07/2023
AAA,0.13,1/06/2023
AAA,0.12,1/05/2023
AAA,0.12,31/03/2023
AAA,0.11,1/03/2023
AAA,0.11,1/02/2023
AAA,0.11,29/12/2022
AAA,0.1,1/12/2022
AAA,0.09,1/11/2022
AAA,0.02,1/10/2021
AAA,0.02,31/08/2021
AAA,0.02,2/08/2021
AAA,0.02,1/07/2021
AAA,0.02,1/06/2021
AAA,0.03,3/05/2021
AAA,0.02,31/03/2021
AAA,0.02,1/03/2021
AAA,0.02,1/02/2021
AAA,0.02,29/12/2020
AAA,0.02,1/12/2020
AAA,0.02,2/11/2020
AAA,0.01,1/10/2020
AAL,0.1,4/02/2020
AAL,0.1,5/11/2019
AAL,0.1,6/08/2019
AAL,0.1,7/05/2019
AAL,0.1,5/02/2019
AAL,0.1,5/11/2018
AAL,0.1,6/08/2018
AAL,0.1,7/05/2018
AAL,0.1,5/02/2018
AAL,0.1,10/11/2017
AAL,0.1,10/08/2017
AAL,0.1,12/05/2017
AAL,0.1,9/02/2017
AAL,0.1,3/11/2016
AAL,0.1,3/08/2016
AAL,0.1,2/05/2016
AAL,0.1,8/02/2016
AAL,0.1,3/11/2015
AAL,0.1,6/08/2015
AAL,0.1,30/04/2015
AAL,0.1,5/02/2015
AAL,0.1,30/10/2014
AAL,0.1,31/07/2014
AAP,0.25,11/04/2024
AAP,0.25,11/01/2024
AAP,0.25,12/10/2023
AAP,0.25,13/07/2023
AAP,1.5,13/04/2023
AAP,1.5,15/12/2022
AAP,1.5,15/09/2022
AAP,1.5,16/06/2022
AAP,1.5,17/03/2022
AAP,1,16/12/2021
AAP,1,16/09/2021
AAP,1,17/06/2021
AAP,0.25,18/03/2021
AAP,0.25,17/12/2020
AAP,0.25,17/09/2020
AAP,0.25,18/06/2020
AAP,0.25,11/06/2020
AAP,0.25,19/03/2020
AAP,0.06,19/12/2019
AAP,0.06,19/09/2019
AAP,0.06,20/06/2019
AAP,0.06,21/03/2019
AAP,0.06,20/12/2018
AAP,0.06,20/09/2018
AAP,0.06,21/06/2018
AAP,0.06,22/03/2018
AAP,0.06,21/12/2017
AAP,0.06,21/09/2017
AAP,0.06,21/06/2017
AAP,0.06,22/03/2017
AAP,0.06,21/12/2016
AAP,0.06,21/09/2016
AAP,0.06,15/06/2016
AAP,0.06,16/03/2016
AAP,0.06,22/12/2015
AAP,0.06,16/09/2015
AAP,0.06,17/06/2015
AAP,0.06,18/03/2015
AAP,0.06,23/12/2014
AAP,0.06,17/09/2014
ABC,0.49,10/08/2023
ABC,0.49,11/05/2023
ABC,0.49,9/02/2023
ABC,0.49,10/11/2022
ABC,0.46,12/08/2022
ABC,0.46,13/05/2022
ABC,0.46,11/02/2022
ABC,0.46,12/11/2021
ABC,0.44,13/08/2021
ABC,0.44,14/05/2021
ABC,0.44,11/02/2021
ABC,0.44,13/11/2020
ABC,0.42,14/08/2020
ABC,0.42,15/05/2020
ABC,0.42,13/02/2020
ABC,0.4,15/11/2019
ABC,0.4,16/08/2019
ABC,0.4,17/05/2019
ABC,0.4,15/02/2019
ABC,0.4,16/11/2018
ABC,0.38,17/08/2018
ABC,0.38,18/05/2018
ABC,0.38,16/02/2018
ABC,0.38,17/11/2017
ABC,0.37,17/08/2017
ABC,0.37,18/05/2017
ABC,0.37,16/02/2017
ABC,0.37,17/11/2016
ABC,0.34,18/08/2016
ABC,0.34,19/05/2016
ABC,0.34,18/02/2016
ABC,0.34,12/11/2015
ABC,0.29,13/08/2015
ABC,0.29,14/05/2015
ABC,0.29,12/02/2015
ABC,0.29,13/11/2014
ABC,0.24,14/08/2014
ABT,0.55,12/04/2024
ABT,0.55,11/01/2024
ABT,0.51,12/10/2023
ABT,0.51,13/07/2023
ABT,0.51,13/04/2023
ABT,0.51,12/01/2023
ABT,0.47,13/10/2022
ABT,0.47,14/07/2022
ABT,0.47,13/04/2022
ABT,0.47,13/01/2022
ABT,0.45,14/10/2021
ABT,0.45,14/07/2021
ABT,0.45,14/04/2021
ABT,0.45,14/01/2021
ABT,0.36,14/10/2020
ABT,0.36,14/07/2020
ABT,0.36,14/04/2020
ABT,0.36,14/01/2020
ABT,0.32,11/10/2019
ABT,0.32,12/07/2019
ABT,0.32,12/04/2019
ABT,0.32,14/01/2019
ABT,0.28,12/10/2018
ABT,0.28,12/07/2018
ABT,0.28,12/04/2018
ABT,0.28,11/01/2018
ABT,0.27,12/10/2017
ABT,0.27,12/07/2017
ABT,0.27,11/04/2017
ABT,0.27,11/01/2017
ABT,0.26,12/10/2016
ABT,0.26,13/07/2016
ABT,0.26,13/04/2016
ABT,0.26,13/01/2016
ABT,0.24,13/10/2015
ABT,0.24,13/07/2015
ABT,0.24,13/04/2015
ABT,0.24,13/01/2015
ABT,0.22,10/10/2014
ABT,0.22,11/07/2014
ACP,0.1,22/04/2024
ACP,0.1,20/03/2024
ACP,0.1,21/02/2024
ACP,0.1,23/01/2024
ACP,0.1,28/12/2023
ACP,0.1,21/11/2023
ACP,0.1,23/10/2023
ACP,0.1,21/09/2023
ACP,0.1,23/08/2023
ACP,0.1,21/07/2023
ACP,0.1,22/06/2023
ACP,0.1,18/05/2023
ACP,0.1,20/04/2023
ACP,0.1,23/03/2023
ACP,0.1,17/02/2023
ACP,0.1,23/01/2023
ACP,0.1,29/12/2022
ACP,0.1,21/11/2022
ACP,0.1,21/10/2022
ACR,0.28,30/12/2019
ACR,0.25,27/09/2019
ACR,0.23,27/06/2019
ACR,0.2,28/03/2019
ACR,0.18,28/12/2018
ACR,0.15,27/09/2018
ACR,0.1,28/06/2018
ACR,0.05,28/03/2018
ACR,0.05,28/12/2017
ACR,0.05,28/09/2017
ACR,0.05,28/06/2017
ACR,0.05,29/03/2017
ACR,0.05,28/12/2016
ACR,0.42,28/09/2016
ACR,0.42,28/06/2016
ACR,0.42,29/03/2016
ACR,0.42,29/12/2015
ACR,0.64,28/09/2015
ACR,0.16,26/06/2015
ACR,0.16,27/03/2015
ACR,0.2,29/12/2014
ACR,0.2,26/09/2014
ACU,0.15,27/03/2024
ACU,0.15,4/01/2024
ACU,0.14,3/10/2023
ACU,0.14,30/06/2023
ACU,0.14,30/03/2023
ACU,0.14,5/01/2023
ACU,0.14,30/09/2022
ACU,0.14,30/06/2022
ACU,0.13,31/03/2022
ACU,0.13,6/01/2022
ACU,0.13,30/09/2021
ACU,0.13,1/07/2021
ACU,0.13,31/03/2021
ACU,0.13,7/01/2021
ACU,0.12,30/09/2020
ACU,0.12,1/07/2020
ACU,0.12,3/04/2020
ACU,0.12,7/01/2020
ACU,0.12,30/09/2019
ACU,0.12,1/07/2019
ACU,0.12,1/04/2019
ACU,0.12,7/01/2019
ACU,0.11,1/10/2018
ACU,0.11,29/06/2018
ACU,0.11,29/03/2018
ACU,0.11,5/01/2018
ACU,0.11,2/10/2017
ACU,0.11,18/07/2017
ACU,0.1,30/03/2017
ACU,0.1,4/01/2017
ACU,0.1,29/09/2016
ACU,0.1,29/06/2016
ACU,0.1,30/03/2016
ACU,0.1,5/01/2016
ACU,0.09,29/09/2015
ACU,0.09,29/06/2015
ACU,0.09,31/03/2015
ACU,0.09,6/01/2015
ACU,0.09,29/09/2014
ADX,0.05,8/02/2024
ADX,1.15,17/11/2023
ADX,0.05,17/08/2023
ADX,0.05,17/05/2023
ADX,0.05,9/02/2023
ADX,0.92,18/11/2022
AEB,0.26,31/08/2021
AEB,0.26,28/05/2021
AEB,0.25,26/02/2021
AEB,0.25,30/11/2020
AEB,0.26,31/08/2020
AEB,0.26,29/05/2020
AEB,0.25,27/02/2020
AEB,0.25,27/11/2019
AEB,0.2528,29/08/2019
AEB,0.24,28/02/2019
AEB,0.25,29/11/2018
AEB,0.26,30/08/2018
AEB,0.26,31/05/2018
AEB,0.25,14/03/2018
AEB,0.25,19/12/2017
AEB,0.26,30/08/2017
AEB,0.26,30/05/2017
AEB,0.25,27/02/2017
AEB,0.25,29/11/2016
AEB,0.26,30/08/2016
AEB,0.26,27/05/2016
AEB,0.25,26/02/2016
AEB,0.25,27/11/2015
AEB,0.26,28/08/2015
AEB,0.25,28/05/2015
